,memberID,date,amount
311,L103482,2022-02-04,645
312,L103301,2022-02-04,1432
313,L103483,2022-02-04,1017
314,L103297,2022-02-04,992
315,L103300,2022-02-04,869
316,L103298,2022-02-04,634
317,L103484,2022-02-04,661
318,L103299,2022-02-04,958
319,L103287,2022-02-04,1242
320,L103478,2022-02-04,1080
321,L103286,2022-02-04,926
322,L103285,2022-02-04,959
323,L100820,2022-02-04,1349
324,L100819,2022-02-04,1061
325,L102172,2022-02-04,62
326,L100818,2022-02-04,961
327,L100817,2022-02-04,365
328,L100816,2022-02-04,1750
329,L100815,2022-02-04,1283
330,L102173,2022-02-04,1041
331,L103475,2022-02-04,186
332,L103476,2022-02-04,689
333,L102174,2022-02-04,1655
334,L100814,2022-02-04,13
335,L103474,2022-02-04,445
336,L100813,2022-02-04,846
337,L100811,2022-02-04,1085
338,L103477,2022-02-04,1547
339,L100810,2022-02-04,1333
340,L100809,2022-02-04,1528
341,L103277,2022-02-04,876
342,L103278,2022-02-04,998
343,L103279,2022-02-04,1207
344,L103280,2022-02-04,396
345,L103281,2022-02-04,842
346,L103282,2022-02-04,1214
347,L103283,2022-02-04,1389
348,L103284,2022-02-04,863
349,L100812,2022-02-04,328
350,L100581,2022-02-04,797
351,L102164,2022-02-04,498
352,L100580,2022-02-04,652
353,L100556,2022-02-04,1045
354,L100557,2022-02-04,289
355,L103261,2022-02-04,556
356,L100558,2022-02-04,1257
357,L100559,2022-02-04,911
358,L103456,2022-02-04,1832
359,L103262,2022-02-04,1560
360,L102633,2022-02-04,1105
361,L102634,2022-02-04,514
362,L100560,2022-02-04,2338
363,L100561,2022-02-04,978
364,L102632,2022-02-04,646
365,L103263,2022-02-04,983
366,L100169,2022-02-04,1120
367,L103264,2022-02-04,1042
368,L100562,2022-02-04,626
369,L103265,2022-02-04,1287
370,L102635,2022-02-04,771
371,L103266,2022-02-04,1028
372,L100563,2022-02-04,178
373,L100564,2022-02-04,1273
374,L100565,2022-02-04,664
375,L103458,2022-02-04,643
376,L100566,2022-02-04,766
377,L103457,2022-02-04,990
378,L103459,2022-02-04,617
379,L102631,2022-02-04,640
380,L100555,2022-02-04,1259
381,L100546,2022-02-04,884
382,L100172,2022-02-04,1306
383,L100547,2022-02-04,467
384,L102625,2022-02-04,217
385,L103254,2022-02-04,958
386,L103255,2022-02-04,1167
387,L102626,2022-02-04,824
388,L100171,2022-02-04,976
389,L100548,2022-02-04,242
390,L103256,2022-02-04,972
391,L100549,2022-02-04,467
392,L102630,2022-02-04,1288
393,L100170,2022-02-04,862
394,L100550,2022-02-04,715
395,L103258,2022-02-04,946
396,L103259,2022-02-04,1351
397,L102627,2022-02-04,1550
398,L102628,2022-02-04,1254
399,L100551,2022-02-04,1279
400,L100552,2022-02-04,946
401,L100553,2022-02-04,1080
402,L102629,2022-02-04,789
403,L100554,2022-02-04,983
404,L103260,2022-02-04,376
405,L103257,2022-02-04,699
406,L100168,2022-02-04,994
407,L102040,2022-02-04,939
408,L102636,2022-02-04,1504
409,L102642,2022-02-04,567
410,L102155,2022-02-04,844
411,L100575,2022-02-04,1146
412,L100574,2022-02-04,667
413,L102157,2022-02-04,538
414,L102156,2022-02-04,1100
415,L103267,2022-02-04,1171
416,L103461,2022-02-04,1094
417,L102641,2022-02-04,338
418,L100573,2022-02-04,1562
419,L103268,2022-02-04,831
420,L100567,2022-02-04,1320
421,L100571,2022-02-04,487
422,L100572,2022-02-04,1120
423,L103460,2022-02-04,278
424,L100576,2022-02-04,875
425,L102158,2022-02-04,373
426,L100577,2022-02-04,1465
427,L103270,2022-02-04,652
428,L100568,2022-02-04,1532
429,L100569,2022-02-04,1011
430,L102637,2022-02-04,1297
431,L103269,2022-02-04,460
432,L100570,2022-02-04,1171
433,L102644,2022-02-04,530
434,L102159,2022-02-04,1466
435,L100579,2022-02-04,1524
436,L102638,2022-02-04,1329
437,L102643,2022-02-04,664
438,L100578,2022-02-04,952
439,L102639,2022-02-04,807
440,L102640,2022-02-04,238
441,L100540,2022-02-05,1415
442,L103259,2022-02-05,1522
443,L102177,2022-02-05,997
444,L100585,2022-02-05,801
445,L100555,2022-02-05,1166
446,L102819,2022-02-05,1095
447,L102168,2022-02-05,724
448,L102024,2022-02-06,575
449,L101727,2022-02-06,1691
450,L103292,2022-02-06,814
451,L102816,2022-02-06,323
452,L102047,2022-02-06,780
453,L100589,2022-02-06,1556
454,L102037,2022-02-06,907
455,L103301,2022-02-07,1220
456,L102632,2022-02-07,503
457,L101746,2022-02-07,897
458,L100816,2022-02-07,1479
459,L101440,2022-02-07,923
460,L101158,2022-02-08,471
461,L103274,2022-02-08,573
462,L100590,2022-02-08,892
463,L102365,2022-02-08,995
464,L102814,2022-02-09,1050
465,L102647,2022-02-09,475
466,L103481,2022-02-09,1048
467,L100814,2022-02-09,130
468,L102045,2022-02-09,1078
469,L102359,2022-02-09,659
470,L103262,2022-02-09,1484
471,L101152,2022-02-09,646
472,L101440,2022-02-09,958
473,L101135,2022-02-09,836
474,L102047,2022-02-10,1000
475,L100814,2022-02-10,107
476,L102634,2022-02-10,731
477,L102362,2022-02-10,820
478,L102639,2022-02-10,679
479,L103482,2022-02-11,834
480,L102340,2022-02-11,1547
481,L102156,2022-02-11,941
482,L101479,2022-02-11,812
483,L101470,2022-02-11,823
484,L102177,2022-02-11,1069
485,L102038,2022-02-12,1047
486,L100547,2022-02-12,601
487,L100173,2022-02-12,1260
488,L101729,2022-02-12,81
489,L101444,2022-02-12,703
490,L101146,2022-02-12,1060
491,L101160,2022-02-12,1399
492,L103249,2022-02-12,459
493,L101155,2022-02-12,809
494,L103273,2022-02-12,883
495,L102156,2022-02-12,998
497,L100580,2022-02-12,678
498,L100169,2022-02-13,1075
499,L102156,2022-02-13,1017
500,L102044,2022-02-13,775
501,L102045,2022-02-14,1052
502,L102177,2022-02-14,1119
503,L101147,2022-02-14,561
504,L103484,2022-02-15,881
505,L102355,2022-02-15,1265
506,L103248,2022-02-15,1331
507,L103259,2022-02-15,1601
508,L101475,2022-02-15,674
509,L102814,2022-02-15,1048
510,L101728,2022-02-15,424
511,L100832,2022-02-16,949
512,L101151,2022-02-16,461
513,L102377,2022-02-16,573
514,L102037,2022-02-17,853
515,L103459,2022-02-17,848
516,L102819,2022-02-17,986
517,L100584,2022-02-17,1078
518,L103292,2022-02-17,1057
520,L101729,2022-02-17,5
521,L102645,2022-02-18,799
522,L102157,2022-02-18,624
523,L101723,2022-02-18,1005
524,L102640,2022-02-18,605
525,L101472,2022-02-18,189
526,L101449,2022-02-18,192
527,L102014,2022-02-19,1212
528,L100585,2022-02-19,869
529,L103303,2022-02-19,1245
530,L103249,2022-02-19,680
531,L101158,2022-02-19,625
532,L101134,2022-02-20,825
533,L100540,2022-02-20,1203
534,L102015,2022-02-20,735
535,L101746,2022-02-20,911
536,L102048,2022-02-20,640
537,L100182,2022-02-21,1717
538,L100832,2022-02-21,980
539,L102818,2022-02-21,852
540,L102647,2022-02-22,502
541,L100549,2022-02-22,471
542,L102157,2022-02-22,487
543,L100178,2022-02-22,1492
544,L100176,2022-02-22,678
545,L100575,2022-02-23,1276
546,L101465,2022-02-23,1304
547,L100583,2022-02-24,932
548,L101446,2022-02-24,871
549,L102048,2022-02-24,629
550,L103274,2022-02-24,475
551,L100570,2022-02-24,1500
552,L103302,2022-02-24,923
553,L102366,2022-02-24,755
554,L102816,2022-02-25,324
555,L102626,2022-02-25,853
556,L103470,2022-02-25,726
557,L100546,2022-02-25,850
558,L103461,2022-02-25,1154
559,L100573,2022-02-25,1523
560,L100541,2022-02-25,949
561,L101158,2022-02-25,507
562,L102015,2022-02-26,661
563,L103476,2022-02-26,782
564,L101441,2022-02-26,1048
565,L100538,2022-02-26,1161
566,L100572,2022-02-26,1196
567,L100175,2022-02-26,416
568,L102162,2022-02-27,989
569,L102364,2022-02-27,1314
570,L100540,2022-02-27,1261
571,L102349,2022-02-28,1057
572,L102029,2022-02-28,437
573,L100818,2022-02-28,1090
574,L103299,2022-02-28,1057
575,L103457,2022-02-28,996
576,L101725,2022-02-28,669
577,L101466,2022-02-28,1291
578,L102169,2022-03-01,595
579,L100814,2022-03-01,241
580,L100579,2022-03-01,1581
581,L100584,2022-03-01,1457
582,L102352,2022-03-01,404
583,L100831,2022-03-01,871
584,L100829,2022-03-02,1235
585,L100570,2022-03-02,1256
586,L100590,2022-03-02,969
587,L101472,2022-03-02,109
588,L102624,2022-03-02,1121
589,L100552,2022-03-03,658
590,L100169,2022-03-03,994
591,L103289,2022-03-03,1220
592,L101440,2022-03-03,1116
593,L101150,2022-03-03,1138
594,L103483,2022-03-03,965
595,L102642,2022-03-03,800
596,L100822,2022-03-03,381
597,L100583,2022-03-03,736
598,L101448,2022-03-03,700
599,L102355,2022-03-03,1149
600,L103481,2022-03-03,988
601,L102170,2022-03-04,1096
602,L103252,2022-03-04,840
603,L103249,2022-03-04,453
604,L102037,2022-03-04,1007
605,L103456,2022-03-05,1920
606,L103285,2022-03-05,909
607,L101160,2022-03-05,1465
608,L103457,2022-03-05,1046
609,L102177,2022-03-05,854
610,L103252,2022-03-05,1111
611,L102634,2022-03-05,633
612,L101454,2022-03-05,347
613,L101472,2022-03-05,125
614,L100550,2022-03-05,881
615,L101481,2022-03-05,1442
616,L100166,2022-03-06,385
617,L102009,2022-03-06,529
618,L101422,2022-03-06,422
619,L100794,2022-03-06,1155
620,L102144,2022-03-06,854
621,L100795,2022-03-06,1128
622,L100796,2022-03-06,544
623,L101421,2022-03-06,1049
624,L100797,2022-03-06,1651
625,L102010,2022-03-06,1102
626,L102011,2022-03-06,762
627,L102329,2022-03-06,1113
628,L102330,2022-03-06,476
629,L103225,2022-03-06,752
630,L103227,2022-03-06,1478
631,L102809,2022-03-06,183
632,L102143,2022-03-06,778
633,L100517,2022-03-06,1534
634,L100798,2022-03-06,1067
635,L100518,2022-03-06,371
636,L103243,2022-03-06,1202
637,L100519,2022-03-06,938
638,L101127,2022-03-06,224
639,L102332,2022-03-06,459
640,L102331,2022-03-06,1580
641,L101128,2022-03-06,228
642,L101427,2022-03-06,419
643,L102149,2022-03-06,1548
644,L103244,2022-03-06,1474
646,L101420,2022-03-06,1592
647,L102008,2022-03-06,822
648,L102007,2022-03-06,1022
649,L102148,2022-03-06,828
650,L102147,2022-03-06,951
651,L100791,2022-03-06,642
652,L101424,2022-03-06,1644
653,L102001,2022-03-06,932
654,L100167,2022-03-06,1015
655,L100789,2022-03-06,1112
656,L102002,2022-03-06,1157
657,L100521,2022-03-06,1134
658,L102327,2022-03-06,875
659,L102003,2022-03-06,876
660,L103226,2022-03-06,1036
661,L100165,2022-03-06,885
663,L100520,2022-03-06,550
664,L100790,2022-03-06,1288
665,L101425,2022-03-06,917
666,L100164,2022-03-06,1716
667,L102000,2022-03-06,1014
668,L102333,2022-03-06,1105
669,L100792,2022-03-06,1086
670,L100793,2022-03-06,972
671,L102004,2022-03-06,293
672,L102005,2022-03-06,872
673,L101423,2022-03-06,98
674,L100163,2022-03-06,223
675,L100788,2022-03-06,693
676,L102006,2022-03-06,1349
677,L102146,2022-03-06,459
678,L102328,2022-03-06,579
679,L102145,2022-03-06,545
680,L101426,2022-03-06,1315
681,L101108,2022-03-06,604
682,L103240,2022-03-06,870
683,L101428,2022-03-06,906
684,L101131,2022-03-06,844
685,L100514,2022-03-06,1089
686,L100506,2022-03-06,832
687,L103449,2022-03-06,783
689,L100505,2022-03-06,1833
690,L102338,2022-03-06,547
691,L100808,2022-03-06,769
692,L100504,2022-03-06,1605
693,L101439,2022-03-06,1343
694,L101438,2022-03-06,1462
695,L103236,2022-03-06,385
696,L100515,2022-03-06,1158
697,L100807,2022-03-06,588
698,L103235,2022-03-06,1186
699,L101437,2022-03-06,1120
700,L100513,2022-03-06,1385
701,L102336,2022-03-06,1186
702,L101132,2022-03-06,601
703,L103233,2022-03-06,751
704,L100510,2022-03-06,1159
705,L103234,2022-03-06,1359
706,L100511,2022-03-06,1333
707,L102613,2022-03-06,1180
708,L102337,2022-03-06,1612
709,L100508,2022-03-06,190
710,L103231,2022-03-06,825
711,L103230,2022-03-06,269
712,L103450,2022-03-06,690
713,L100512,2022-03-06,713
714,L102047,2022-03-06,817
715,L100507,2022-03-06,469
716,L102335,2022-03-06,896
717,L103242,2022-03-06,862
718,L103444,2022-03-06,1001
719,L100806,2022-03-06,1046
720,L102612,2022-03-06,1479
721,L103239,2022-03-06,879
722,L100802,2022-03-06,1070
723,L101431,2022-03-06,528
724,L101430,2022-03-06,1683
725,L101999,2022-03-06,1507
726,L103443,2022-03-06,666
727,L100801,2022-03-06,707
728,L101429,2022-03-06,1636
729,L102334,2022-03-06,1398
730,L100800,2022-03-06,720
731,L101129,2022-03-06,776
732,L100586,2022-03-06,710
733,L100799,2022-03-06,688
734,L103241,2022-03-06,464
735,L103229,2022-03-06,609
736,L103442,2022-03-06,1326
737,L100516,2022-03-06,924
738,L100805,2022-03-06,359
739,L101436,2022-03-06,1308
740,L100804,2022-03-06,1297
741,L101435,2022-03-06,946
742,L103228,2022-03-06,646
743,L102140,2022-03-06,1540
744,L102142,2022-03-06,169
745,L103237,2022-03-06,966
746,L101433,2022-03-06,1255
747,L101432,2022-03-06,1390
748,L101130,2022-03-06,816
749,L100803,2022-03-06,576
750,L103238,2022-03-06,1356
751,L102141,2022-03-06,857
752,L101434,2022-03-06,760
753,L102150,2022-03-06,1107
754,L103232,2022-03-06,1081
755,L101419,2022-03-06,784
756,L101698,2022-03-06,749
757,L101697,2022-03-06,1366
758,L103218,2022-03-06,1208
759,L103219,2022-03-06,846
760,L101114,2022-03-06,737
761,L103220,2022-03-06,1075
762,L101696,2022-03-06,828
763,L102622,2022-03-06,741
764,L101695,2022-03-06,1278
765,L101115,2022-03-06,1079
766,L101694,2022-03-06,457
767,L101116,2022-03-06,724
768,L101117,2022-03-06,2082
769,L102621,2022-03-06,224
770,L102620,2022-03-06,1218
771,L102619,2022-03-06,967
772,L102618,2022-03-06,1333
773,L101976,2022-03-06,1222
774,L103451,2022-03-06,1667
775,L101975,2022-03-06,2102
776,L102616,2022-03-06,665
777,L103222,2022-03-06,1213
778,L100531,2022-03-06,923
779,L101699,2022-03-06,899
780,L101119,2022-03-06,1040
781,L100532,2022-03-06,1447
782,L103221,2022-03-06,321
783,L100509,2022-03-06,995
784,L100534,2022-03-06,870
785,L102617,2022-03-06,960
786,L100535,2022-03-06,1269
787,L101118,2022-03-06,1304
788,L101977,2022-03-06,1358
789,L101700,2022-03-06,795
790,L101113,2022-03-06,1206
791,L100549,2022-03-06,377
792,L102818,2022-03-06,722
793,L103212,2022-03-06,990
794,L103452,2022-03-06,1085
795,L101109,2022-03-06,866
796,L103448,2022-03-06,1034
797,L103447,2022-03-06,1074
798,L101110,2022-03-06,1184
799,L101111,2022-03-06,443
800,L101730,2022-03-06,1255
801,L103446,2022-03-06,1270
802,L103213,2022-03-06,568
803,L103445,2022-03-06,776
804,L103453,2022-03-06,858
805,L102813,2022-03-06,728
806,L101708,2022-03-06,1229
807,L101112,2022-03-06,1303
809,L103217,2022-03-06,1278
810,L103216,2022-03-06,524
811,L103455,2022-03-06,1873
812,L101702,2022-03-06,1553
813,L101703,2022-03-06,1002
814,L101701,2022-03-06,742
815,L102623,2022-03-06,1257
816,L103215,2022-03-06,973
817,L101705,2022-03-06,690
818,L101706,2022-03-06,1414
819,L101707,2022-03-06,738
820,L103454,2022-03-06,1123
821,L103214,2022-03-06,1168
822,L101704,2022-03-06,1337
823,L101120,2022-03-06,1153
824,L100533,2022-03-06,572
825,L101979,2022-03-06,936
826,L100524,2022-03-06,723
827,L101996,2022-03-06,1137
828,L101408,2022-03-06,1410
829,L101988,2022-03-06,1100
830,L101415,2022-03-06,839
831,L100523,2022-03-06,1248
832,L101409,2022-03-06,658
833,L102325,2022-03-06,931
834,L102153,2022-03-06,1739
835,L101989,2022-03-06,753
836,L102614,2022-03-06,984
837,L101410,2022-03-06,1418
838,L101411,2022-03-06,633
839,L101414,2022-03-06,1097
840,L101978,2022-03-06,1115
841,L102326,2022-03-06,1090
842,L101412,2022-03-06,469
843,L102810,2022-03-06,735
844,L101990,2022-03-06,514
845,L101991,2022-03-06,930
846,L101992,2022-03-06,1315
847,L102154,2022-03-06,480
848,L102812,2022-03-06,1708
849,L101995,2022-03-06,916
850,L101993,2022-03-06,728
851,L101413,2022-03-06,1335
852,L101994,2022-03-06,606
853,L102811,2022-03-06,924
854,L101125,2022-03-06,941
855,L101987,2022-03-06,1575
856,L101997,2022-03-06,77
857,L100525,2022-03-06,770
858,L100530,2022-03-06,435
859,L101980,2022-03-06,152
860,L101121,2022-03-06,1023
861,L101998,2022-03-06,608
862,L103223,2022-03-06,268
863,L101981,2022-03-06,1528
864,L101122,2022-03-06,629
865,L101982,2022-03-06,863
866,L101418,2022-03-06,1453
867,L100529,2022-03-06,1249
868,L100528,2022-03-06,312
869,L100527,2022-03-06,1141
870,L102151,2022-03-06,1039
871,L101407,2022-03-06,1182
872,L101124,2022-03-06,1101
873,L100526,2022-03-06,1224
874,L100522,2022-03-06,642
875,L103224,2022-03-06,515
876,L101986,2022-03-06,1018
877,L101126,2022-03-06,1297
878,L101985,2022-03-06,948
879,L102152,2022-03-06,532
880,L101416,2022-03-06,657
881,L101984,2022-03-06,539
882,L102615,2022-03-06,806
883,L101123,2022-03-06,1177
884,L101983,2022-03-06,921
885,L101417,2022-03-06,1322
886,L101112,2022-03-07,1461
887,L100582,2022-03-07,927
888,L103260,2022-03-07,315
889,L101711,2022-03-07,233
890,L101448,2022-03-07,849
891,L100562,2022-03-07,485
892,L101146,2022-03-07,758
893,L100799,2022-03-07,679
894,L101139,2022-03-07,1332
895,L102140,2022-03-07,1296
896,L102156,2022-03-07,1046
897,L103299,2022-03-07,806
898,L101468,2022-03-07,397
899,L103459,2022-03-08,623
900,L101445,2022-03-08,543
901,L101479,2022-03-08,1027
902,L102028,2022-03-08,638
903,L101444,2022-03-08,693
904,L102639,2022-03-08,959
905,L101482,2022-03-08,1682
906,L100802,2022-03-08,1056
907,L101442,2022-03-08,926
908,L103259,2022-03-08,1483
909,L101145,2022-03-08,269
910,L100165,2022-03-08,859
911,L103480,2022-03-08,1541
912,L101426,2022-03-08,1485
913,L102041,2022-03-09,1285
914,L101733,2022-03-09,869
915,L100539,2022-03-09,1052
